product url,product name,product price,rating,no of reviews
http://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1679497621&sprefix=ba%2Caps%2C283&sr=8-46,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,709.,4.2 out of 5 stars,435 ratings
http://www.amazon.in/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1679497621&sprefix=ba%2Caps%2C283&sr=8-47,Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,589.,3.6 out of 5 stars,361 ratings
http://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1679497621&sprefix=ba%2Caps%2C283&sr=8-50,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,834.,4.0 out of 5 stars,"5,144 ratings"
http://www.amazon.in/Bennett-15-6-inch-Repellent-Backpack-ben_cas_blue/dp/B09WZKB54G/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1679497621&sprefix=ba%2Caps%2C283&sr=8-52,"Bennett Laptop Bag for Menं & Women 15.6 inch, 25 L Water Resistant Bag Laptop Apple/Dell/Lenovo/Asus/Hp/Samsung/Mi/MacBook/Ultrabook/Thinkpad/Ideapad/Surfacepro (Blue)",512.,4.0 out of 5 stars,439 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjQzNTU1NjY3Njk1MTA3OjE2Nzk0OTc2MjE6c3BfYnRmOjIwMDcyMzk1NTEyNzAyOjowOjo&url=%2FArtistix-Unisex-Travel-Backpack-Repellent%2Fdp%2FB09B5DMGM1%2Fref%3Dsr_1_53_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497621%26sprefix%3Dba%252Caps%252C283%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Artistix Avian Unisex Water Repellent Anti Theft Travel Backpack with USB Port (Black, 32 L)","1,989.",4.6 out of 5 stars,669 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjQzNTU1NjY3Njk1MTA3OjE2Nzk0OTc2MjE6c3BfYnRmOjIwMTMwMzcwODU3ODk4OjowOjo&url=%2FHA-CREATION-Backpack-Multicolour-Collage%2Fdp%2FB0B2Q3MGC8%2Fref%3Dsr_1_54_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497621%26sprefix%3Dba%252Caps%252C283%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,HA CREATION Heavy duty Large 45-L Backpack (Multicolour) Laptop Backpack Unisex Collage & School Bags,499.,3.5 out of 5 stars,59 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2OTI1Nzg1MDM5MzcyMjQ0OjE2Nzk0OTc2ODg6c3BfYXRmX25leHQ6MjAxMTIwOTYzMTc1OTg6OjA6Og&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497688%26sprefix%3Dba%252Caps%252C283%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,300",4.2 out of 5 stars,12 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2OTI1Nzg1MDM5MzcyMjQ0OjE2Nzk0OTc2ODg6c3BfYXRmX25leHQ6MjAxMTM3ODgxNzUxOTg6OjA6Og&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_50_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497688%26sprefix%3Dba%252Caps%252C283%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"1,349.",4.3 out of 5 stars,"7,738 ratings"
http://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1679497688&sprefix=ba%2Caps%2C283&sr=8-52,Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,799.,4.2 out of 5 stars,"54,803 ratings"
http://www.amazon.in/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KSBHC18/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1679497688&sprefix=ba%2Caps%2C283&sr=8-53,"Chic Buddy Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries",299.,4.4 out of 5 stars,282 ratings
http://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1679497688&sprefix=ba%2Caps%2C283&sr=8-57,Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),"2,239.",3.9 out of 5 stars,402 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2OTI1Nzg1MDM5MzcyMjQ0OjE2Nzk0OTc2ODg6c3BfbXRmOjIwMDc1NTA4OTMyMDk4OjowOjo&url=%2FSkating-Resistant-College-Backpack-Computer%2Fdp%2FB0978Z7K6G%2Fref%3Dsr_1_59_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497688%26sprefix%3Dba%252Caps%252C283%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"jaspo Roller Skating Bag, Quad & Inline Skates (Water Resistant), Casual/Office/College Book Backpack Computer/Laptop Bag for Both Kids & Adults Travel Backpack",521,3.4 out of 5 stars,69 ratings
http://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2OTI1Nzg1MDM5MzcyMjQ0OjE2Nzk0OTc2ODg6c3BfbXRmOjIwMTA4NDc1MDc0Njk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BRMWDNZ7%2Fref%3Dsr_1_60_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679497688%26sprefix%3Dba%252Caps%252C283%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400.",4.7 out of 5 stars,19 ratings
